_order_number,School Name
7793,bradford-high-school
9553,bradford-high-school
9719,bradford-high-school
570,brighton-high-school
1318,brighton-high-school
1320,brighton-high-school
1323,brighton-high-school
2602,brighton-high-school
5454,brighton-high-school
6825,brighton-high-school
8792,brighton-high-school
9595,calhoun-city-high-school
2874,canton-academy
174,center-hill-high-school
2982,center-hill-high-school
5951,center-hill-high-school
8072,center-hill-high-school
10401,center-hill-high-school
4793,choctaw-county-high-school
6093,cleveland-central-high-school
910,cordova-high-school
1535,cordova-high-school
3668,cordova-high-school
6721,cordova-high-school
9174,cordova-high-school
9455,cordova-high-school
335,covington-high-school
1642,covington-high-school
10211,covington-high-school
588,crockett-county-high-school
7310,crockett-county-high-school
8617,crockett-county-high-school
2107,deer-creek-school
2188,deer-creek-school
3518,desoto-central-high-school
5116,desoto-central-high-school
6516,desoto-central-high-school
6869,desoto-central-high-school
7003,desoto-central-high-school
10074,east-webster-high-school
6521,faulkner-high-school
7844,first-assembly-christian-school
8120,first-assembly-christian-school
379,germantown-high-school-germantown-tn
854,germantown-high-school-germantown-tn
855,germantown-high-school-germantown-tn
3068,germantown-high-school-germantown-tn
6228,germantown-high-school-germantown-tn
9169,germantown-high-school-germantown-tn
9690,germantown-high-school-germantown-tn
10661,germantown-high-school-germantown-tn
3204,germantown-high-school-madison-ms
4951,germantown-high-school-madison-ms
178,greenville-high-school
9530,greenville-high-school
4546,halls-high-school-halls-tn
4547,halls-high-school-halls-tn
8899,halls-high-school-halls-tn
2688,hernando-high-school
9274,hernando-high-school
2556,horn-lake-high-school
1276,humphreys-high-school
6770,kemper-county-high-school
6776,kemper-county-high-school
4401,kingsbury-high-school
10157,kosciusko-high-school
1166,lafayette-high-school
1921,lafayette-high-school
7897,lake-cormorant-high-school
8125,lake-cormorant-high-school
8834,lake-cormorant-high-school
4656,leake-academy
4665,leake-academy
8925,leake-academy
2970,lewisburg-high-school
3489,lewisburg-high-school
9445,lewisburg-high-school
10524,louisville-high-school
8224,louisville-high-school
9004,louisville-high-school
346,madison-central-high-school
8099,madison-central-high-school
9644,madison-central-high-school
6977,madison-ridgeland-academy
6409,madison-s-palmer-high-school
6411,madison-s-palmer-high-school
713,magnolia-heights-high-school
2370,magnolia-heights-high-school
2427,magnolia-heights-high-school
9328,mcevans-high-school
2540,middleton-high-school
7041,middleton-high-school
7043,middleton-high-school
6434,millington-central-high-school
9987,millington-central-high-school
1990,munford-high-school
1417,neshoba-central-high-school
2517,neshoba-central-high-school
9078,neshoba-central-high-school
10048,new-hope-high-school
1266,northwest-rankin-high-school
6004,northwest-rankin-high-school
6873,northwest-rankin-high-school
10173,northwest-rankin-high-school
9656,noxubee-county-high-school
5171,olive-branch-high-school
6539,olive-branch-high-school
8431,olive-branch-high-school
10093,olive-branch-high-school
5691,pillow-academy
5468,pisgah-high-school
5480,pisgah-high-school
754,ridgeland-high-school
2150,ridgeland-high-school
2249,ridgeland-high-school
2390,ridgeland-high-school
6009,ridgeland-high-school
7031,ridgeland-high-school
7032,ridgeland-high-school
7837,ridgeland-high-school
2071,ridgeway-high-school
9038,ridgeway-high-school
6259,ripley-high-school-ripley-ms
5286,ripley-high-school-ripley-tn
6715,ripley-high-school-ripley-tn
6916,ripley-high-school-ripley-tn
7331,ripley-high-school-ripley-tn
8547,ripley-high-school-ripley-tn
9555,ripley-high-school-ripley-tn
10273,ripley-high-school-ripley-tn
4442,riverside-high-school
6649,senatobia-high-school
6231,sharkey-issaquena-academy
4787,southaven-high-school
7768,southaven-high-school
8341,southaven-high-school
9463,southaven-high-school
4245,south-panola-high-school
5058,south-panola-high-school
7684,starkville-high-school
6971,st-benedict-at-auburndale
3490,st-joseph-catholic-school-madison-ms
3042,st-joseph-high-school-greenville-ms
3522,st-joseph-high-school-greenville-ms
3553,st-joseph-high-school-greenville-ms
7137,tremont-attendance-center
1857,tunica-academy
6115,tunica-academy
889,tupelo-high-school
5268,tupelo-high-school
6109,tupelo-high-school
10442,tupelo-high-school
303,union-high-school
10433,west-lowdnes-high-school
10434,west-lowdnes-high-school
5240,west-tallahatchie-high-school
6714,west-tallahatchie-high-school
7474,west-tallahatchie-high-school
7493,west-tallahatchie-high-school
1580,winona-christian-academy
10106,winona-christian-academy
